Employee ID,Contract ID,Gender,Full name,Category,Position,Level,Workload,Start Date,End Date
E0001,C0001,Male,Alexander Hill,1211 - Finance managers,Finance Manager,Lead,1.0,2016-10-18,
E0002,C0002,Male,Brian Yang,2512 - Software developers,Junior Software Developer,Junior,1.0,2022-04-12,
E0003,C0003,Male,Javier Johnson,1330 - Information and communications technology service managers,Director of IT,Mid,1.0,2016-09-20,
E0004,C0004,Female,Lindsay Hoffman,2512 - Software developers,Junior Software Developer,Junior,0.5,2024-01-22,
E0005,C0005,Male,Jason Cole,2512 - Software developers,Junior Software Developer,Junior,1.0,2017-09-25,
E0006,C0006,Female,Abigail Shaffer,2512 - Software developers,Junior Software Developer,Junior,1.0,2018-10-16,2024-06-13
E0007,C0007,Female,Cindy Gallagher,2421 - Management and organization analysts,Product Manager,Lead,1.0,2014-09-28,2024-02-06
E0008,C0008,Female,Heather Cooper,3512 - Information and communications technology user support technicians,Help Desk Technician,Mid,0.5,2017-07-02,
E0009,C0009,Female,Monica Herrera,2512 - Software developers,Junior Software Developer,Junior,1.0,2019-06-11,
E0010,C0010,Female,Elaine Fuller,2512 - Software developers,Senior Software Developer,Senior,1.0,2019-02-26,
E0011,C0011,Female,Michele Williams,2512 - Software developers,Junior Software Developer,Junior,1.0,2016-11-17,
E0012,C0012,Male,William Wyatt,2512 - Software developers,Junior Software Developer,Junior,1.0,2014-09-20,
E0013,C0013,Female,Jody Flowers,2512 - Software developers,Senior Software Developer,Senior,1.0,2015-10-08,2024-05-23
E0014,C0014,Male,Michael Miles,2512 - Software developers,Senior Software Developer,Senior,1.0,2024-08-18,
E0015,C0015,Female,Lisa Jackson,2523 - Computer network professionals,Network Engineer,Mid,1.0,2017-03-02,2024-03-04
E0016,C0016,Female,Debra Schaefer,2529 - Database and network professionals not elsewhere classified,Information Security Analyst,Mid,1.0,2024-09-16,
E0017,C0017,Female,Melinda Cameron,2512 - Software developers,Junior Software Developer,Junior,0.5,2013-12-14,
E0018,C0018,Male,Andrew Stewart,2421 - Management and organization analysts,Data Analyst,Mid,1.0,2017-07-22,
E0019,C0019,Male,Thomas Bradley,"1321 - Manufacturing, mining, construction, and distribution managers",Director of Engineering,Mid,1.0,2018-05-10,
E0020,C0020,Male,Jonathan Wilkerson,1120 - Managing directors and chief executives,CIO,Mid,1.0,2023-12-09,2024-06-27
E0021,C0021,Male,Charles Mcgee,2512 - Software developers,Junior Software Developer,Junior,1.0,2022-03-04,
E0022,C0022,Female,Lauren Hurst,2421 - Management and organization analysts,Product Manager,Lead,1.0,2019-10-18,
E0023,C0023,Female,Yolanda Taylor,2529 - Database and network professionals not elsewhere classified,Cloud Engineer,Mid,0.25,2021-05-25,
E0024,C0024,Male,Anthony Rodriguez,2512 - Software developers,Senior Software Developer,Senior,1.0,2023-09-04,
E0025,C0025,Male,Michael Carlson,2512 - Software developers,Senior Software Developer,Senior,1.0,2019-07-19,2024-05-28
E0026,C0026,Female,Julie King,2421 - Management and organization analysts,Data Analyst,Mid,0.5,2022-05-31,2024-11-30
E0027,C0027,Male,Michael Wilson,2529 - Database and network professionals not elsewhere classified,IT Security Specialist,Mid,0.25,2022-02-19,
E0028,C0028,Male,Randy Peterson,2512 - Software developers,Junior Software Developer,Junior,0.75,2017-12-29,
E0029,C0029,Female,Jody Mckay,2512 - Software developers,Senior Software Developer,Senior,1.0,2017-06-25,
E0030,C0030,Female,Dr. Katie Rodriguez,2512 - Software developers,Machine Learning Engineer,Mid,1.0,2023-08-22,
E0031,C0031,Female,Margaret Lynch,2512 - Software developers,Junior Software Developer,Junior,1.0,2015-08-08,
E0032,C0032,Male,Christopher Ashley,3512 - Information and communications technology user support technicians,IT Support Specialist,Mid,0.5,2022-01-09,
E0033,C0033,Male,Kyle Burns,2512 - Software developers,Junior Software Developer,Junior,1.0,2014-11-27,
E0034,C0034,Female,Sherry Decker,2512 - Software developers,Senior Software Developer,Senior,1.0,2018-03-26,
E0035,C0035,Female,Cynthia Bradley,3512 - Information and communications technology user support technicians,Help Desk Technician,Mid,1.0,2014-05-05,
E0036,C0036,Male,John Jones,"2120 - Mathematicians, actuaries and statisticians",Data Scientist,Mid,0.5,2022-01-24,
